"ID"	"DAM"	"SIRE"	"SEX"	"COHORT"
"ELF_433"	"ELF_67"	"M0007"	"1"	"2012"
"ELF_434"	"ELF_67"	"M0007"	"1"	"2012"
"ELF_435"	"ELF_67"	"M0007"	"1"	"2012"
"ELF_436"	"ELF_67"	"M0007"	"2"	"2012"
"ELF_437"	"ELF_67"	"M0007"	"2"	"2012"
"ELF_438"	"ELF_67"	"M0007"	"2"	"2012"
"ELF_44"	"F0041"	"*"	"3"	"2008"
"ELF_440"	"ELF_133"	"M0010"	"1"	"2012"
"ELF_441"	"ELF_133"	"M0010"	"1"	"2012"
"ELF_442"	"ELF_133"	"M0010"	"2"	"2012"
"ELF_443"	"ELF_133"	"M0010"	"1"	"2012"
"ELF_444"	"ELF_133"	"M0010"	"1"	"2012"
"ELF_445"	"ELF_133"	"M0010"	"1"	"2012"
"ELF_446"	"ELF_133"	"M0010"	"2"	"2012"
"ELF_447"	"ELF_161"	"ELF_150"	"1"	"2012"
"ELF_448"	"ELF_161"	"ELF_150"	"1"	"2012"
"ELF_449"	"ELF_161"	"ELF_150"	"2"	"2012"
"ELF_45"	"*"	"*"	"2"	"1998"
"ELF_450"	"ELF_161"	"ELF_150"	"1"	"2012"
"ELF_451"	"ELF_161"	"ELF_150"	"2"	"2012"
"ELF_453"	"ELF_335"	"ELF_306"	"1"	"2012"
"ELF_454"	"ELF_335"	"ELF_306"	"1"	"2012"
"ELF_455"	"ELF_185"	"M0024"	"2"	"2012"
"ELF_456"	"ELF_185"	"M0024"	"2"	"2012"
"ELF_458"	"ELF_58"	"ELF_393"	"1"	"2012"
"ELF_459"	"F0015"	"M0056"	"2"	"*"
"ELF_462"	"ELF_139"	"ELF_277"	"2"	"2012"
"ELF_463"	"ELF_388"	"ELF_94"	"2"	"2012"
"ELF_464"	"ELF_388"	"ELF_94"	"2"	"2012"
"ELF_465"	"ELF_388"	"ELF_94"	"2"	"2012"
"ELF_469"	"ELF_166"	"ELF_150"	"1"	"2012"
"ELF_470"	"ELF_69"	"ELF_134"	"2"	"2012"
"ELF_472"	"ELF_69"	"ELF_134"	"2"	"2012"
"ELF_473"	"ELF_357"	"ELF_269"	"2"	"2012"
"ELF_476"	"ELF_7"	"ELF_352"	"2"	"2012"
"ELF_477"	"*"	"*"	"2"	"2012"
"ELF_478"	"ELF_320"	"ELF_323"	"1"	"2012"
"ELF_479"	"F0035"	"M0055"	"1"	"2012"
"ELF_481"	"ELF_359"	"M0024"	"2"	"2012"
"ELF_482"	"F0035"	"M0055"	"2"	"2012"
"ELF_485"	"ELF_152"	"M0009"	"1"	"2012"
"ELF_486"	"ELF_152"	"M0013"	"1"	"*"
"ELF_487"	"F0035"	"M0055"	"1"	"2012"
"ELF_488"	"F0011"	"M0039"	"1"	"*"
"ELF_489"	"F0014"	"ELF_49"	"1"	"*"
"ELF_49"	"*"	"*"	"2"	"2000"
"ELF_491"	"ELF_152"	"M0009"	"2"	"2012"
"ELF_493"	"ELF_7"	"ELF_352"	"1"	"2012"
"ELF_494"	"ELF_65"	"ELF_159"	"2"	"2012"
"ELF_495"	"ELF_99"	"M0013"	"2"	"2012"
"ELF_497"	"F0008"	"M0029"	"1"	"2012"
"ELF_498"	"*"	"*"	"1"	"*"
"ELF_499"	"F0008"	"M0029"	"2"	"2012"
"ELF_501"	"ELF_329"	"ELF_306"	"2"	"2010"
"ELF_502"	"F0032"	"ELF_49"	"1"	"*"
"ELF_503"	"ELF_152"	"M0009"	"2"	"2012"
"ELF_506"	"ELF_154"	"M0010"	"2"	"*"
"ELF_507"	"F0035"	"M0055"	"1"	"2012"
"ELF_508"	"ELF_152"	"M0013"	"2"	"*"
"ELF_509"	"ELF_309"	"M0022"	"1"	"*"
"ELF_51"	"*"	"*"	"2"	"*"
"ELF_510"	"ELF_157"	"M0022"	"1"	"*"
"ELF_511"	"F0023"	"M0037"	"1"	"*"
"ELF_512"	"F0027"	"M0037"	"2"	"2003"
"ELF_513"	"F0014"	"ELF_49"	"1"	"*"
"ELF_514"	"F0016"	"M0037"	"1"	"*"
"ELF_515"	"ELF_329"	"ELF_350"	"1"	"2012"
"ELF_516"	"ELF_7"	"ELF_352"	"2"	"2012"
"ELF_517"	"F0028"	"M0043"	"1"	"*"
"ELF_518"	"ELF_78"	"ELF_45"	"2"	"2008"
"ELF_519"	"F0010"	"M0033"	"2"	"*"
"ELF_520"	"F0005"	"M0016"	"1"	"*"
"ELF_521"	"ELF_309"	"M0022"	"2"	"*"
"ELF_522"	"F0005"	"M0016"	"2"	"*"
"ELF_523"	"F0021"	"M0017"	"1"	"2002"
"ELF_524"	"ELF_181"	"M0017"	"1"	"2003"
"ELF_525"	"ELF_326"	"M0060"	"1"	"2012"
"ELF_526"	"F0025"	"M0007"	"2"	"*"
"ELF_527"	"F0004"	"M0057"	"1"	"2001"
